"sample","condition","sample_region","individuum","big_area","area","Acronym","condition__Acronym","RIN"
"HA11","H","H11","HA","Frontal Lobe","Ventrolateral PreFrontal Ctx-Broca","BA44","H__BA44",6.1
"HA12","H","H12","HA","Limbic Lobe","Cingulate Cortex Anterior","BA32","H__BA32",6.8
"HA14","H","H14","HA","Basal Ganglia","Caudate ","CAUD","H__CAUD",7.3
"HA15","H","H15","HA","Basal Ganglia","Nucleus Accumbens","NACC","H__NACC",6.3
"HA16","H","H16","HA","White Matter","Corpus Callosum Anterior","CCa","H__CCa",3.7
"HA18","H","H18","HA","Temporal Lobe","Temporopolar Ctx","BA38","H__BA38",7.3
"HA19","H","H19","HA","Frontal Lobe","Premotor Ctx Anterior Lateral","BA6a","H__BA6a",6.3
"HA21","H","H21","HA","Limbic Lobe","Cingulate Cortex Anterior","BA24","H__BA24",7.8
"HA23","H","H23","HA","Basal Ganglia","Putamen","PUT","H__PUT",5.9
"HA25","H","H25","HA","White Matter","Internal Capsule","IC","H__IC",2.4
"HA28","H","H28","HA","Frontal Lobe","1ary Motor Ctx","BA4","H__BA4",6
"HA29","H","H29","HA","Parietal Lobe","1ary Somatosensory Ctx","BA3_1_2","H__BA3_1_2",7.9
"HA3","H","H3","HA","Frontal Lobe","Dorsolateral Prefrontal Ctx","BA9","H__BA9",5.4
"HA30","H","H30","HA","Basal Ganglia","Globus Pallidus","GP","H__GP",3.9
"HA32","H","H32","HA","Diencephalon","Hypothalamus","HYP","H__HYP",5.6
"HA33","H","H33","HA","Limbic Lobe","Amygdala","AMG","H__AMG",7
"HA34","H","H34","HA","Limbic Lobe","Entorhinal Cortex","ENTCTX","H__ENTCTX",7.8
"HA36","H","H36","HA","Temporal Lobe","2ary Auditory","BA21a","H__BA21a",7.6
"HA37","H","H37","HA","Temporal Lobe","visual processing, recognition memory","BA20a","H__BA20a",6.5
"HA39","H","H39","HA","Temporal Lobe","1ary Auditory Ctx","BA41_42","H__BA41_42",5.2
"HA40","H","H40","HA","Limbic Lobe","Cingulate Cortex Posterior","BA31","H__BA31",6.1
"HA42","H","H42","HA","Insula","Insular Cortex Posterior","INSp","H__INSp",6.5
"HA44","H","H44","HA","Diencephalon","Medial Dorsal Thalamus","MDTH","H__MDTH",5.7
"HA46","H","H46","HA","Basal Ganglia","Substantia Nigra","SN","H__SN",3.6
"HA50","H","H50","HA","Limbic Lobe","Hipocampus-CA3/Dentate Gyrus","CA3_DG","H__CA3_DG",5.9
"HA52","H","H52","HA","Temporal Lobe","2ary Auditory Ctx- Wernicke","BA22p","H__BA22p",7.6
"HA56","H","H56","HA","White Matter","Posterior Corpus Callosum","CCp","H__CCp",6
"HA58","H","H58","HA","Parietal Lobe","Supramarginal Gyrus Posterior","BA40p","H__BA40p",6.1
"HA62","H","H62","HA","Parietal Lobe","Precuneus","BA7m","H__BA7m",6.3
"HA66","H","H66","HA","Occipital Lobe","Anterior Striate Ctx- 1ary Visual Ctx","BA17a","H__BA17a",7.8
"HA67","H","H67","HA","Occipital Lobe","Anterior Extrastriate Ctx- 2ary Visual Ctx","BA18_19a","H__BA18_19a",7.6
"HA7","H","H7","HA","Frontal Lobe","Orbitofrontal Ctx","BA11","H__BA11",7.2
"HA71","H","H71","HA","Cerebellum","Cerebellar White Matter","CB_WM","H__CB_WM",4
"HA72","H","H72","HA","Cerebellum","Cerebellar Grey Matter","CB_GM","H__CB_GM",6.8
